accessionNo,boxNumber,title,placeOfPublication,publisher,dateOfPublication,descriptionContent,type,paper,abstract,keywords,,,,,
E2-1170AC,,,,,,,,"(1957, November 17)",U.S Researchers Combing Europe IN The New York Times,,08/11/2025,,,,
E2-1171AC,,,,,,,,"(1957, October 8)",Brazil gets bids from 4 lands to develop big iron deposits in The New York Times ,,08/11/2025,,,,
E2-1172AC,,,,,,,,"(1957, September 12)","Mr. Paul B.W. Gollong, Manager, Armour Research Foundation of Illinois, Institute of Technology, 10 West 35th Street, Chicago 16, Illinois
Dear. Mr. Gollong : Dean Ortigas of the State University mentioned your desire to know who from the Philippines are attending the International Industrial Development Conference Co-Sponsored by Time-Life International and the Stanford Research Institute. He requested the IDC to obtain the information and to transmit these directly to you. I personally welcome the assignment because it gives me the opportunity to renew acquaintances with you. As far as we could determine, the following compose the Filipino Group Attending the Conference : Ramon V. Del Rosario, President, Philippine Investment-Management Consultants, Inc.; Carlos Palanca, Jr., General Manager, La Tondeña, Inc.; Roberto T. Villanueva, President, Philippine Chamber of Industries; Alfonso Calalang, President, Security Bank & Trust Co., Member, Board of Directors, Philippine Association; Leonides Virata, Vice-President-Treasurer, Philippine American Life Insurance Co. Except for Mr. A. Calalang who was officially designated representative of an organization invited to the conference, it is our impression that these gentlemen are going at the invitation extended to them individually by the sponsors of the conference. I would like to take this opportunity to inform you that I am a member of a team of eight officials from private and government agencies that will go on an ICA sponsored trip to the U.S., U.K., Continental Europe and Japan on an 8-10 week observation of the development and implementation of product standards. The trip has been scheduled to start in October, 1957. Should our itinerary bring us close to the Chicago area, I hope to be able to call on you at ARF. My personal regards, Sincerely, Hugo B. Fernandez, Deputy Director",,08/13/2025,,,,
E2-1173AC,,,,,,,,"(1957, May 22) ","Dean C.A. Ortigas, College of Engineering, University of the Philippines, Diliman, Quezon City, Philippines. Dear Dean Ortigas : With the passing months, I fear, perhaps wrongly, that interest in the Industrial Research Center will wane. Although it is pleasing to read from your letter of May 7th that practically all parties involved in this program are supporting it, it would seem to me that early action is necessary if a program is going to be realized. Fortunately, you are directly on top of the situation, and thus the program probably has a better than even chance of being initiated. Thinking that you might be interested in another article from the ""Wall Street Journal"", relating to science, the April 24th issue speaks about scientists and their ventures into industry. The clipping is enclosed. I had a touching letter from Mrs. Magsaysay in which she expressed her appreciation for our words of sympathy. Since I, myself, had not writted to her, I can only assume that you, Dr. Marañon, or Dr. Arguelles, forwarded our expression of sympathy which we sent to you. Our sincere thanks for this good gesture. Sincerely, Paul B.W. Gollong, Manager ",,08/13/2025,,,,
E2-1174AC,,,,,,,,"(1957, May 3)","Dean C. A. Ortigas, Director, Industrial Research Center, University of the Philippines, Quezon City, Philippines
My dear Dean Ortigas : Shortly, Dr. R. F. Humphreys, Assistant Director of the Armour Research Foundation is leaving for Burma to advise on the Atomic Energy Program of that country. En route, he will stopover in Manila, arriving June 5th on PAA Flight No. 833. He will stay at the Manila Hotel until the 7th and then proceed to Burma. Although his stay will be brief, I believe that a meeting with you would be most interesting. Thus, I have asked him to contact you upon his arrival. A brief biography on him is enclosed. Sincerely, Paul; B.W. Gollong, Manager",,08/13/2025,,,,
E2-1175AC,,,,,,,,"Biography of Dr. Richard F. Humphreys, Assistant Director, Armour Research Foundation of Illinois Institute of Technology ","Dr. Richard F. Humphreys, assistant director of Armour Research Foundation of Illinois Institute of Technology, Chicago, is recognized as one of the nation's leading atomic scientists. In his capacity as assistant director, Humphreys is responsible for the development of new areas of technical research at the Foundation. These new areas are being developed in the nine research departments that comprise Armour Research Foundation, an independent, not-for-profit organization which annual conducts approximately $12 million in sponsored research for industry and the government. It was largely through Humphreys' efforts that the Foundation was able to enter the nuclear reactor field and to install the world's first reactor for industrial research. As a scientist, Humphreys has gained a widespread reputation as an expert in the areas of ultracentrifugation of isotopes, cyclotron research, and nuclear reactions. Humphreys joined the Foundation in 1949 as assistant manager of the physics research department and became manager in 1951. Prior to 1949, he was an associate professor of physics at Yale University where he served on the faculty for nine years. He was acting director of the Sloane Physics Laboratory at Yale and also served as consultant on underwater sound research for industyr and the government. Humphreys has co-authored a textbook on ""First Principles of Atomic Physics,"" and has published papers in Physical Review, Review of Scientific Instruments, and numerous other scientific journals. A Rector scholar at DePauw University, Greencastle, Ind., he was awarded a bachelor of arts degree in physics in 1933. He received his master's degree from Syracuse University in 1936 and his doctorate from Yale University in 1939. Active in civic affairs, Humphreys is chairman of the radiological defense committee of the Chicago Civil Defense Corps and has served as a member of the isotopes advisory committee to the health commissioner. He is a director and past president of the Physical Club of Chicago. His professional memberships include the American Physical Society, American Association for the Advancement of Science, American Association of Physics Teachers, and Sigma XI. A native of Greenville, O., he attended high school at Martinsville, Ind., where his mother, Mrs. R.T. Humphreys still resides. Humphreys lives at 3101 S. Wabash Ave., Chicago",,08/13/2025,,,,
E2-1176AC,,,,,,,,"(1957, April 26) ","Dean C.A. Ortigas, Member, Interdepartmental Committee on Atomic Energy, Manila. Dear Dean Ortigas : During my absence to attend the 10th World Health Assembly in Geneva, you are hereby designated Acting Chairman of the Interdepartmental Committee on Atomic Energy. You should preside over the meetings of the Committee and sign all communications pertaining to the Committee's activities, except routine correspondence which may be signed for the Committee by the Commitee Secretary. The subsequent meetings of the Committee may continue to be held in the Office of the Secretary of Health. Very truly yours, Paulino J. Garcia, M.D. ",,08/14/2025,,,,
E2-1177AC,,,,,,,,"(1957, April 6)","Dr. Paul B.W. Gollong, Manager, Armour Research Foundation of Illinois Institute of Technology, Chicago 16, Illinois, U.S.A.
Dear Dr. Gollong : Thank you for your letter of March 28, 1957 and for two copies of The Frontier, a publication of the Armour Research Foundation of Illinois Institute of Technology, Spring, 1957 and for a clipping from the ""Wall Street Journal"", Chicago, Tuesday, March 19, 1957 entitled ""The Idea Mills"". The article on the Idea Mills shows the infinite potentialities of scientific research. I have read the article entitled ""Fulfilling the Undelayable"" describing the brief but successful work of the Armour Research Institute in the development of some industrial products especially the conversion of Bogota's garbage into compost at a very little cost to the sponsoring country. Very interesting are the projects on the production of : 1) an all-steel plow using local material; 2) the preparation of potato flour from surplus potatoes to extend scarce wheat supplies; 3) utilization of huge tonnages of waste coffee pulp; 4) the bacterial conversion of non-edible agricultural wastes into cattle feed; 5) the protection of low-cost wooden housing from Colombia's vicious termites. I will try to confer with Dean Ortigas of the U.P. College of Engineering and get more information from him about the research program developed in January between him and the ARF. Sincerely yours, MV. Arguelles, Executive Director ",,08/14/2025,,,,
E2-1178AC,,,,,,,,"(1957, March 25)","Dean Crisostomo Ortigas, Chairman, Executive Committee Special Scholarship Committee, University of the Philippines Campus. Sir : In compliance with the action of the Executive Committee, University of the Philippines, in its last meeting held on February 28, 1957, I have the honor to forward to you, as Chairman of the Special Scholarship Committee, its report and recommendation for further study. Respectfully, Jose C. Campos, Jr. Acting Registrar ",,08/14/2025,,,,
E2-1179AC,,,,,,,,"(1956, December 20) The Special Scholarship Committee ","The Acting President, University of the Philippines, Quezon City. Sir : The Special Scholarship Committee created by the Executive Committee of the University Council has the honor to submit the following report : I. The Committee enthusiastically voted to express appreciation for Regent Sibal's interest in the university's scholarship program as follows : ""Appreciation is hereby expressed by the Committee for the interest of Regent Sibal in the university's scholarship programs"". II. The Committee decided to recommend to the President and the Board of Regents the creation of National Scholarship Fund in the amount of P30,000 annually, to begin with, which shall be awarded to the deserving and gifted youths. The scholarship award shall cover the necessary expenses for board, lodging, transportation, tuition and other university fees estimated at the rate of P1000 a year for each scholar. The scholar shall be selected by competitive examinations and other measures which may be adopted for the purpose. The scholarship shall be open to high school graduates from both public and private schools all over the country. The principal aim of this scholarship is to enable the University to help implement the constitutional provision which requires that ""The State shall create scholarships in arts, science, and letters for specially gifted citizens"". III. The Committee approved to recommend to the President to make representation with the National Science Board for the allocation of P200,000 to finance primarily the scholarships of students interested in the advanced studies of sciences and mathematics. IV. The Committee resolved to recommend to the President and the Board of Regents the establishment of a system of Faculty Fellowship by which members of the faculty, particularly the promising ones shall be authorized to take advanced courses and degrees in certain departments of the University. While holding such fellowship, the faculty shall be relieved of all his teaching assignments, while receiving full salary like the fellows studying abroad. Where the services of the instructors are indispensable the fellow may be given a teaching assignment not exceeding 6 units a semester. Depending upon the quality of his academic performance the said fellowship may be renewed every year. At the completion of his course the fellow may be given the privilege to travel and observe abroad as a measure to round out his professional training. V. The Committee decided to recommend the creation of a Scholarship Committee of the University Council which shall formulate policies and implement the rules governing scholarship which may be adopted by the Council. VI. The Committee decided to recommend the maintenance of the present system of awarding College and University scholarships. VII. The general rules for non-UP scholarships recommended by the Registrar and approved by the Committee on Student Progress were reviewed, and the Committee decided to recommend the following amendments : A. Amend paragraph (1) to read as ""Extra-mural scholarship includes all scholarships financed from funds other than those coming from the U.P. budget."" B. Delete the last paragraph of No. (2); C. No. (4) to read as : ""Whenever a scholarship is for more than one semester, continuation or renewal of the award or grant shall be allowed only if the awardee obtained an average of at least '2.5' with no grade lower than '3' in any subject in case the awardee is an undergraduate. If he is a graudate student, the minimum grade is '2'."" D. Change ""private"" to ""extra-mural"" in No. (6); E. No. (8) to read as : ""Administration of the above rules should be entrusted to a Committee on scholarship to be created."" F. Delete Nos. (7), (9) and (10). Very respectfully, Dr. Patrocinio Valenzuela, Member; Dr. Leopoldo Uichanco, Member; Crisostomo A. Ortigas, Chairman; Dr. Antonio Isidro, Member",,08/14/2025,,,,
E2-1180AC,,,,,,,,General Rules for Non-U.P. Scholarships Recommended by the Registrar and Approved by the University Council Committee on Student Progress ,"1. Private Scholarships include all scholarships from private or non-University of the Philippine grants. All private schoalrships shall be administered by the Commitee on Student Progress. Proposed Change : Extra-mural scholarship includes all scholarships financed from funds other than those coming from the U.P. budget. 2. Unless otherwise specified by the donor, scholarships shall be awarded to candidates who obtained the highest general average grade derived from their class standing in the U.P. where applicable and their grades in the competitive examinations given for the purpose, in accordance with the following weights : Class standing...2, Competitive examination...1. The subjects of and the manner of conducting competitive examinations shall be prescribed by a committee for the college concerned, the members of which shall be appointed by the Dean from the said college with the representative of the College to the Committee on Student Progress as Chairman. Personal interview by the College Committee may be required. Proposed Change : Delete the last paragraph. 3. Scholarship may be awarded to freshmen after completing one semester work in the U.P. 4. Whenever a scholarship is for more than one semester, continuation or renewal of the award or grant shall be allowed only if the awardee has obtained no lower than ""3"" in any of this subjects in case the awardee is an undergraduate, or""2"" if he is a graduate student. Proposed change : Whenever a scholarship is for more than one semester, continuation or renewal of the award or grant shall be allowed only if the awardee obtained an average of at least ""2.5"" with no grade lower than ""3"" in any subject in case the awardee is an undergraduate. If he is a graduate student, the minimum grade is ""2"". 5. Stipends or allowance shall be paid out to awardees in installments of not more than what corresponds to one semester. 6. Whenever a student or applicant or awardee is entitled to more than one private scholarships, he shall be made to choose only one. This, however, shall not prevent him from holding a University or College scholarship without any financial benefit. Proposed Change : Change ""private"" to ""extra-mural"". 7. All other rules, whether general or specific in nature, shall be subject to the approval by the President of the University and by the Board of Regents. Proposed change : repeal. 8. All moneys with regard to scholarships shall be deposited with the University and disbursements therefrom shall be made only upon approval of the Chairman of the Committee and of such other officials of the University whose approval is usual and necessary in the regular course of disbursement from the University funds. Proposed change : Administration of the above rules should be entrusted to a Committee on scholarship to be created. 9. Specific short name for each of the scholarships, to distinguish one from the others, shall be formulated by the Commitee. Proposed change : Repeal. 10. All negotiations for scholarship grants from private donors shall be held with the donor or his representative by the Chairman of the Committee of Student Progress or his authorized representative. Proposed Change : Repeal. ",,08/14/2025,,,,
E2-1181AC,,,,,,,,"(1957, March 21)","Dr. Paul B. W. Gollong, Manager, Armour Research Foundation, Technology Center, 10 West 35th Street, Chicago 16, Illinois. Dear Dr. Gollong : Thank you for bringing ""The Idea Mills"" withinin our reach. Our proposed (i.e. yours-mine) is still in the mill. Main difficulty is delay in the release of pesos to the National Science Board. However, I am expecting some development soon; will get in touch with you in near future. Sincerely, C.A. Ortigas, Dean",,08/14/2025,,,,
E2-1182AC,,,,,,,,"(1957, March 13)","Dean C.A. Ortigas, Director, Industrial Research Center, University of the Philippines, Quezon City, Philippines
My dear Dean Ortigas : Thought you would be interested in the March 12th Wall Street Journal article, ""The Idea Mills"", which makes interesting reading. Note what the University of Chicago is doing in the research field. By the way, what is happening on our proposal? Don't forget, I can always make a quick trip to Manila, if this is justified. Sincerely, Paul B.W. Gollong, Manager ",,08/14/2025,,,,
E2-1183AC,,,,,,,,"(1957, March 22)","Dean C.A. Ortigas, Director, Industrial Research Center, University of the Philippines, Quezon City, Philippines
My dear Dean Ortigas : As a member of the Western Society of Engineers, I receive the publication, ""Midwest Engineer."" Catching up on my reading, I found the November issue particularly interesting. Believing you too will find the article, ""The Peacetime Development of Atomic Energy"" pertinent, I'm enclosing the magazine. May I also add our expression of sympathy. To all of us here, the death of your beloved President came as a personal sense of loss. It will be most difficult to find a national leader of that stature again. Sincerely, Paul B. W. Gollong, Manager ",,08/14/2025,,,,
E2-1184AC,,,,,,,,"(1957, February 18)","Dean C.A. Ortigas, Director, Industrial Research Center, University of the Philippines, Quezon City, Philippines. My dear Dean Ortigas : Now that I have returned to the States, I hasten to write to you to express my pleasure at having seen you in Manila last month. It was indeed a welcome opportunity to discuss the several matters of mutual interest. When I have caught up with the mail which accumulated during my absence from the office. I will write to you further. Although Miga is writing to your lovely wife, I do want to express our appreciation for your and your wife's wonderful hospitality. May it not be too many months before we see each other again. Sincerely, Paul B. W. Gollong, Manager",,08/14/2025,,,,
E2-1185AC,,,,,,,,"(1957, January 28)","To : Dean C.A. Ortigas
From : P. B.W. Gollong
Subject : Research Advisory Services for the Development of the Industrial Research Center of the University of the Philippines 
As a result of various conferences and discussions, I am pleased to present the following modification to our preproposal of September 21, 1956 which covers the subject services : Objectives of the Program. It would seem that the objectives of the modified program remain the same. If desired, they may be incorporated into the project proposal you intend to present to the National Science Board. Proposed Plan. The ""preferred plan"" is indicated as the one most suitable to the task to be undertaken under the modified program. That is, five-year, three-phase program, encompassing the Center as a whole. Personnel Requirements. The personnel required under the modified program is similar to that set forth under the ""preferred plan"", except that their nomenclature may be changed to Advisory Technologists, headed by a Resident Project Leader. The Resident Project Leader would be in charge during the term of the program, preceding the rest of the field staff to undertake the first phase of the three phase plan. Not later than six months after his arrival he would be followed by two Advisory Technologists, these to be complemented by a minimum of three others not later than one year after the initiation of the field work. Thus, the minimum staff requirements for the field work seem to be 6 men for a total of 312 man-months, for a five-year program (or 168 man-months, for an initial three-year program). It is to be noted here that although not strictly an item under personnel requirements, the matter of an initial orientation visit by you or some designated, top-caliber member of the Center to the Armour Research Foundation should be considered. Such a visit, prior even to the assignment of the Resident Project Leader, is extremely desirable and is an aspect designed to bring about the fullest understanding of the facilities and staff available to the program, as well as to provide first-hand knowledge of the manner in which research institutes operate elsewhere. Financial Requirements. The dollar cost estimates under the modified program are the same as those established under the ""preferred plan"". As to the local costs, the U.P. Stanford Contract, could readily serve as a model. ",,08/14/2025,,,,
E2-1186AC,,,,,,,,"(1956, December 7) ","Dear Dean Ortigas : As per our telephone conversation this morning, I am sending you herewith a mimeographed copy of Republic Act 1606. I have supplied the other members of the Committee copies of same. Very sincerely yours, Vicente Bobis, Assistant Registrar",,08/15/2025,,,,
E2-1187AC,,,,,,,,"Republic Act No. 1606
An Act to promote Scientific, Engineering and Technological Research, Invention and Development","Republic Act No. 1606
An Act to promote Scientific, Engineering and Technological Research, Invention and Development
Be it enacted by the Senate and House of Representatives of the Philippines in Congress assembled : 
Section 1. In order to promote scientific, engineering and technological research, invention, and development, the Government shall, in accordance with the provisions of this Act : (a) Grant scholarships in science, engineering and technology for especially gifted citizens; (b) Grant bonus and other financial aid to brilliant and deserving scientific, engineering and technological researchers; (c) Give additional compensation to scientific, engineering and technological researchers employed in the Government who, for financial reasons, engage in teaching or in private business after office hours, subject to the condition that upon receiving such additional compensation, they shall no longer engage in teaching or in private business but shall devote themselves after office hours to scientific research and studies : Provided, That the faculty and other personnel of the University of the Philippines engaged in scientific engineering and technical research who are not authorized to teach outside or engage in private business shall be entitled to the additional compensation equivalent to that received by officials and personnel of other branches of the government of equivalent rank; (d) Employ the services of recognized scientists, engineers and technologists for the purpose of training promising young scientists or researchers; (e) Acquire all the necessary scientific, engineering or technical equipment and supplies which may be needed for conducting resaerches : (f) Enter into contract with private persons, firms and corporations in order for them to undertake any scientific, engineering and technological research, invention and development that can not be undertaken in the various laboratories, bureaus, offices, agencies and instrumentalities of the Government; (g) Extend aids to research, travel grants; send participants to international conferences or congresses; hold International Scientific or Engineering and Technological Conferences and Congresses in the Philippines; and establish exchange of scientific, engineering and technological information with other countries; (h) Establish an industrial research and training center in the University of the Philippines; (i) Allocate funds provided in this Act, over and above existing funds, to all existing and new research institutions of the government, for their expansion, improvement and establishment and for originating and continuing researches therein; and with the following research agencies designated to undertake special research projects and requirements along the line laid down in the programs outlined in appendices ""A"", ""B"", ""C"", ""D"", ""E"", ""F"", ""G"" and ""H"" which are hereby made integral parts of this Act and/or such changes as the Board may from time to time decide : 1. The University of the Philippines Industrial Research and Training Center : (a) Textile Pilot plant, (b) pulp and paper pilot plant, (c) coconut products and by-products pilot plant, including fuel, and (d) industrial research building; (2) The National Scientiic and Industrial Research Institute (formerly Institute of Science and Technology) : (a) improvement and expansion of the scientific library and laboratory facilities, equipment and personnel, (b) electrometallurgy pilot plant, and (c) ceramics pilot plant; 3. The University of the Philippines, College of Pharmacy (in cooperation with the College of Medicine, University of the Philippines and the National Museum) : industrial development of drugs from  Philippine medicinal plants; 4. The Science Foundation of the Philippines (in cooperation with the National Education Board) : promotion of science consciousness among the students and the general puiblic; 5. The University of the Philippines, College of Agriculture in cooperation with the Department of Agriculture and Natural Resources) : (a) rice and corn breeding, (b) coffee and cacao varieties improvement and control of their diseases and other plant, and (c) livestock and poultry improvement; 6. Institute of Nutrition : (a) intensification of nutrition researches and (b) nutrition surveys. 7. Department of Health, Public Health Research Laboratories : (a) Anti-biotics (in cooperation with the Bureau of Soil Conservation, College of Agriculture and College of Pharmacy, University of the Philippines), (b) tetanus toxoid, (c) human rabies immune plasma, (d) plasma expanders, and (e) preparation of plasma fraction and gamma globulins. 8. Other new and necessary research projects. (j) Perform other activities that will promote scientific, engineering and technological research, invention and development. As used in paragraphs (b) and (c) of this section, the phrase ""scientific, engineering and technological researchers"" refer to those undertaking studies or investigations to acquire or discover new knowledge, principle, process or information relating to science, engineering or technology. Sec. 2. The administration of the program provided for in this Act shall be vested in a Naitonal Science Board which is hereby created under the Office of the President to be composed of one representative each from the following : the National Research Council of the Philippines to be designated by the Executive Board of said council; the University of the Philippines to be designated by its President; the Science Foundation of the Philippines; the Institute of Science and Technology; the Philippine Association for the Advancement of Science; the Philippine Confederation of Professional Organizations; the Department of Agriculture and natural Resources; the Department of Health; the Department of Commerce and Industry; manufacturing industries; and the National Economic Council to be appointed by the President with the consent of the Commission on Appointments. The presiding officer of the Board shall be appointed by the President from among the above eleven members with the consent of the Commission on Appointments : Provided, that he is not the chairman of any other government board or council. The President shall, upon recommendation of the National Science Board and subject to the confirmation of the Commission on Appointments, appoint an executive director on full-time basis. The National Science Board is authorized to : (a) Organize such technical and secretarial staff as may be required to implement the provisions of this Act, for which the total sum of sixty-one thousand six hundred twenty pesos is hereby appropriated for the following to be taken from the sum appropriated in section three hereof : I. Personal Services. 1. One Executive Director - P12,000.00; 2. One Assistant Executive Director and Secretary of the Board - P6,600.00; 3. One Stenographer - P2,760.00; 4. Two Typists at P1,800.00 - P3,600.00; 5. One Messenger - P1,440.00; 6. One Janitor - P1,440.00 and 7. For salaries of expert, technical and other necessary office personnel employed by contract or otherwise - P18,000.00. Total for personal services - P45,840.00. II. Maintenance and Other Operating Expenses - 1. Travel expenses of personnel - P1,000.00; 2. Supplies and materials - P5,280.00 and 3. Sundry expenses - P5,000.00. Total for personal services - P45,840.00. II. Maintenance and Other Operating Expenses. 1. Travel expenses of personnel  - P1,000.00; 2. Supplies and materials - P5,280.00; 3. Sundry expenses - P5,000.00. Total for maintenance and other operating expenses - P11,780.00. II. Furniture and Equipment. 1. Acquisition of fixed assets - P4,000.00. Total for funiture and equipment - P4,000.00. Grand Total - P61,620.00. (b) Coordinate the various researches being undertaken by the different bureaus, offices, agencies and instrumentalities of the government and synchronize them with the activities authorized to be undertaken by this Act in order to prevent unnecessary duplication; (c) Release funds provided for in this Act exclusively for the purpose enumerated in Section One hereof; (d) Supervise, regulate and otherwise administer the research projects and activities financed from the funds under this Act; and (e) Constitute for all legal purposes, the Board of Directors with all the duties, powers and prerogatives of a Board of Directors, unless otherwise provided for in this Act. Sec. 3. To carry out the provisions of this Act there is hereby appropriated out of any funds in the National Treasury not otherwise appropriated, or from the proceeds of any bond issues authorized by law, beginning for the fiscal year nineteen hundred fifty-seven, the sum of four million five hundred thousand pesos to constitute a special fund to be known as the Scientific Engineering and Technological Research Fund for the first year and there is hereby appropriated two million three hundred eighty thousand pesos for the second year, and two million two hundred fifty thousand pesos each year for the thiord, fourth and fifth years : Provided, that any unexpended appropriation for any particular year shall not revert to the General Fund. Any amount in the form of grants, donations or aids that may be received by the Philippine Government for scientific, engineering and technological research, invention, and development, which shall be exempted from all taxes shall also form part of this Fund. Sec. 4. The Scientific, Engineering and Technological Research Fund shall be expended by the National Science Board created under Section Two, exclusively for the purposes enumerated in Section One hereof. Sec. 5. The National Science Board shall submit to the President of the Philippines, the President of the Senate and the Speaker of the House of Representatives, not later than thirty days from the opening of Congress, a yearly report on the progress made on the various projects financed under this Act, the program of projects the Board will undertake the following year, and a financial report on all its operations. Sec. 6. This Act shall take effect upon its approval. Approved, August 23, 1956. Report of the Committee on Science and Technology were eliminated due to lack of space. A true copy from the Official Gazette, Vol. 52, No. 11, September 15, 1956. ",,08/15/2025,,,,
E2-1188AC,,,,,,,,"(1956, November 7)","The Acting President, University of the Philippines, Quezon City. Sir : I have the honor to inform you that the Committee on Student Progress considered at its meeting today your amendments to the proposed rules for Non-U.P. scholarships. The Committee decided to accept two of your amendments : (1) to award scholarship for freshmen after completing one semester work in the University of the Philippines, and (2) to empower the Chairman of the Committee on Student Progress or his authorized representative to negotiate for scholarship grants from any private donor or his representative. Regarding your suggestion to give some recognition to students deserving scholarship but not in need financially, the Committee believes in reviving the old practice of giving honor students scholarship pins during a conversation in their honor. The complete rules as amended and recommended by the Committee on Student Progress appear below. Very respectfully, Juan C. Canave, Chairman. 
General Rules For Non-U.P. Scholarships recommended by the Registrar and approved by the Committee on Student Progress
1. Private Scholarships include all scholarships from private or non-University of the Philippines grants. [All private scholarships shall be administered by the Committee on Student Progress.]
2. Unless otherwise specified by the donor, scholarships shall be awarded to candidates who obtained the highest general average grade derived from their class standing in the U.P. where applicable and their grades in the competitive examinations given for the purpose , in accordance with the following weights : class standing...2; competitive examination...1. [The subjects of and the manner of conducting competitive examinations shall be prescribed by a committee for the college concerned, the members of which shall be appointed by the Dean from the said college with the representative of the College to the Committee on Student Progress as Chairman. Personal interview by the College Committee may be required.] 3. Scholarship may be awarded to freshmen after completing one semester work in the U.P. 4. Whenever a scholarship is for more than one semester, continuation or renewal of the award or grant shall be allowed only if the awardee has obtained no lower than ""3"" in any of his subjects in case the awardee is an undergraduate, or ""2"" if he is a graduate student. 5. Stipends or allowances shall be paid out to awardees in installments of not more than what corresponds to one semester. 6. Whenever a student or applicant or awardee is entitled to more than one private scholarships, he shall be made to choose only one. This, however, shall not prevent him from holding a University or College scholarship without any financial beneift. [7. All other rules, whether general or specific in nature, shall be subject to the approval by the President of the University and by the Board of Regents.] [8. All moneys with regard to scholarships shall be deposited with the University and disbursements therefrom shall be made only upon approval of the Chairman of the Committee and of such other officials of the University whose approval is usual and necessary in the regular course of disbursement from the University funds.] [9. Specific short names for each of the scholarships, to distinguish one from the others, shall be formulated by the Committee.][10. All negotiations for scholarship grants from private donors shall be held with the donor or his representative by the Chairman of the Committee of Student Progress or his authorized representative. ]",,08/16/2025,,,,
E2-1189AC,,,,,,,,"(1955, December 14)","Mr. William R. Weems, Professor & Adviser in Engineering, Seoul National University c/o/ U.N. Economic Coordinator, APO 301, San Francisco, Calif. Dear Mr. Weems : Dean Bailey and I contacted each other o nthe eve of my departure on a four-day trip; otherwise this letter would have reached you several days earlier. Anyway I hope that you can find the time to visit our College in Diliman, Quezon City, sometime during the month of January or February so that we will profit by the assistance that you may be willing to extend to us in the preparations and/or in the discussions in the connection with the Engineering Convention that will be sponsored by the University of the Philippines early in February. The object of the above-mentioned convention is to bring together the College of Engineering, the industries, and government corporations and offices, for the purpose of finding ways and means of helping one another. Such topics as improvement of curricula, regulation and placement of graduates, and industrial research cooperation will be taken up. I understand from Dean Bailey that all your expenses will be paid by your office in Korea. It is on this understanding that I am extending this invitation to you without previous consultation with our finance officers here in our school. If I am wrong in assuming this wise, please overlook the error and advise me accordingly. Yours truly, C. A. Ortigas, Dean",,08/16/2025,,,,
E2-1190AC,,,,,,,,"(1954, December 9)","Professor Jacob P. Den Hartog, Head, Dept. of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, Mass. Dear Professor Den Hartog : On p. 31, Technology Review, Nov. 1954. Congratulations! By this time you must be a grandfather. Congratulations again; and warm regards to Mrs. Den Hartog and the rest of the family. Mrs. Ortigas and I expect to be grandparents by April;--our oldest son got married 1 July this year. We have contract with Stanford University by which we get the services of Professors in Engineering in U.S. through Stanford University. Prof. E.L. Eriksen of the University of Michigan is the head of the Stanford team. He has often spoken of you with fondness. Sometimes he refers to my former professor as a flying Dutchman. This morning we enjoyed looking at your picture together. Hunter Rouse was here as consultant for our Hydraulics Laboratory. He spent two weeks with us. I hope you could come to help us on the Stanford team before our contract expires in June 30, 1957. I have been using your Mechanical Vibrations as a text in a senior course entitled Dynamics of Machines and Foundations. The boys like the course and the textbook although they consider both as tough. Wishing you a Merry Christmas and a Happy 1955. Very sincerely yours, C.A. Ortigas, Dean (since June 1954). N.B. Memories of our visit to your country home at Lake Winnepessaupe still abide with me. ",,08/16/2025,,,,
E2-1191AC,,,,,,,,"(1953, December 11)","Prof. Crisostomo Ortigas, College of Engineering, University of the Philippines, Diliman, Quezon City. Dear Prof. Ortigas : Upon learning that you are appointed the new Dean of our Alma Mater, College of Engineering, University of the Philippines, our association thru its Board of Directors takes pride in extending to you our heartfelt congratulations and sincere wishes for a successful deanship. We also wish to take this opportunity to invite you to be our guest in our annual convention which will be held on the 19th of December at the Aristocrat Air-Conditioned Restaurant in the form of a luncheon meeting. Trusting that you will honor us with your presence, we beg to remain. Very sincerely yours, For the PSME C.L. Navarro, Secretary",,08/16/2025,,,,
E2-1192AC,,,,,,,,"(1953, July 7)","Dear Mr. Prentics : I have the pleasure to forward herewith for the consideration of the Mission the counterpart budget for the Rehabilitation of the U.P. College of Engineering (Counterpart Project No.__) in the amount of P188,000 for the period July 1, 1953 to June 30, 1954. This project is a merger of Counterpart Projects Nos. 20, 30, and 65. However, the accompanying budget does not include additional appropriations for Counterpart Project No. 65. A budget in the amount of P333,610 has already been approved for this project for the period January 1 to September 30, 1953. Funds to be provided under this project will be used mostly in the acquisition, receipt and installation of laboratory equipment and in the construction of a chemical engineering laboratory to house heavy laboratory equipment. The University of the Philippines will provide P100,000 out of its regular funds to cover its share of the cost of this laboratory building. A special budget in the amount of P35,930 chargeable against the appropriations under paragraph 2, section 1, page 969 of Republic Act No. 906 may be approvede to cover the administrative and overhead expenses of the Departments of Mining and Geology. Beginning with this fiscal year, overhead expenses of the Department of Chemical Engineering will be paid out of the regular appropriations of the College. Also attached herewith for the consideration of the Mission is the draft of the agreement on this project. Sincerely yours, Placido L. Mapa, Chairman, F&RB-AA-BGV-et",,08/16/2025,,,,
